9f3999bd1a1a8d67bcb073ad54840f15cb30f014	See readers' New Year's photos
f21680b77830223807e4847b3307e6ffa1e175ed	These are some of the coolest passport stamps in the world
2607fc7d7b4c0ede839a5ff6d499fa428237443e	- There will be fireworks
68d1503c73ad169dcfff48214fd0274c4d612e63	Here it boils over to Tønseth. Then he ran away from the stadium in anger.
29f080ad9ac28bacd74b67f912db8bfba1f60258	Trump wishes his enemies a happy new year
f2ce698b3daf00cfcac0d5279053c4da9de07a92	This is how the holiday year 2017 will be
045e279b5467a73a32dcf94e014fb750c229366d	The bus stops, but the tram leaves
40d2ee3cfa2a7119b197e293353d0e2401782b1a	Had to attend a dishwashing meeting after criticizing the national team
080b1bbe40a36dda8cf11482647b8b534fec2226	One in three Norwegians will train more in 2017
e58a1032bd59080a9a194e44caf6e33d97b17ca1	Rema advertises with the letter æ
17f24670798d52486bfa50f017966c810eba66a3	Trondheim, from the harbor towards Pirbadet
6924146e66b3d614e5f88078e49aac9158d6ca44	This is what it looked like in the container when the police opened the doors
44df675e982042efd785e450591cb5b11d734087	The last party of the year
da6bb967433e090a0ddc543a23273218901b1b6d	VIDEO: Torturkjeller
cf989da39b4ab0162ce22ded9d9d5fd2e480d15f	Stina Nilsson parked the Norwegian girls in the sprint
b3d3ff89c6a412187244ade3f15c12b011061c06	Warns of full westerly storm in Trøndelag night to New Year's Eve
05e4209b296dc7dfc9d4e0c401d79256bcea4cb5	In this picture, Magnus Carlsen stands out: - A bit random
ac6aacb71fb09db2bb79554e6bc5ecdb95103ea2	Who do you think is Trøndelag of the Year?
7ff6175fdbcba1cd4a5f98cb21237c5152715c93	Five graphs that tell what Norwegians do on New Year's Eve
0c19eaeb6191c6ef247904e2f942d70673635331	Here is the goal that keeps Liverpool in the golden match
09bac095c4d33af2236bf3ffdafc129a8d7b6e5e	Hidden treasures on Netflix and HBO Nordic
81569cfee8174d4ba61bd834ba3415bb01a3821c	Here you can send up fireworks
dd5a5bf69cfecc8a30d1408f1bd22907ffd0feb4	Trondheim spends NOK 500,000 less than Stavanger
1aa86dce47dcf5062416996e6a35e5aa6a42de2e	Norwegian runner travels home from the Tour de Ski
22f97b98be68b3dc937a897b6f3a4a4ee9218756	Northug's coach does not think Sundby will win the Tour de Ski
fbe63300c34902b920ca51c79a2271a0dceffa65	Man (78) found dead in a manhole by national road in Gjemnes
e1880fcf518194280925e98fe35c00dee20599b0	Warns against strong gusts in the inner part of Trøndelag
76d572823217951216610f714acd569ed567916e	For the first time, people can buy this on New Year's Eve
1d6279f9e08156802519de2929346fd57e974ff1	Hurtigruta turned on Folda
034f38f5a33e9e51dab3ff1f22269647252045e0	New Year's Eve is created for sparkling drinks
964122fe944ee017dd2e4d5238e609888c3379f7	Address glimpse from 1970
ffa98be0ceb83eb5d012c1754a6a2d87afb81a49	Here it was summer temperatures last night
22010dfeea2c45676f86932e423d5cce348a0dec	Here you get at least 5000 in fines for rocket launching
9d504283eb5dc3cfb495b2c20faa39ec5ba73823	15,000 more in lump sums for new parents
9ba314784d572a12de184cd38f9377966a83f687	Trondheim, from the harbor towards Rockheim
a66d560a82727ac694a92005b158acecdef958ac	Today, a new playground opened at Lade
8958b92773fee4c4dd578681661e06b63a3c25d0	Still some without electricity on Helgeland
a8b778c631a50434bce3ec90da9130d4de9d3cbe	QUIZ: Which municipalities should actually merge?
4cc8efe84e5f2e640f71381bea1752df431b4c88	Construction boom provides strong growth for Hent
b6b9f869d0d4ce4e67a5515f1e99703fcba2e3ad	See pictures of cars that will soon arrive on Trøndelag roads
5294deb1c57c70860e75264efa2586e2df5d048f	Trondheim, the outlet of the Nidelva
a72ead058717c2420ad01575d1cdee32578a5b2d	Did you think that 2017 will be a boring sports year? Think again
147837e63c80074459414ec7c1d0028a6b3f3a90	Fire alarm for kitchen at Singsaker
e1e6eeeae9aab1acf3956eb3d11164ff52f2100b	This is how the World Cup in Qatar will be
04627acb9e206fdb9e5c7f36db2402e090eea337	The Beatles' first manager is dead
ccd8230aececb03e231403dbba86069bbe45d1bf	The housing market 2017: I think it will be a battle for the objects
46c3e4370c26097c2212976fc24ac49e9dc34d92	Quiz: Who is the man who greets King Harald in this picture?
75dd210a050a3a4a09a500d479aa59066505519e	When the confetti dropped, the cup ran over Magnus Carlsen
212945f4f9e9198c9077122fc50f1e2266811eb7	Hestsjøen will be affected by a new landfill
daef1b0f47940c78497c4f4d47506bc64b282406	The city hall will be located on Nidarø
c9f6ffc334f04b7bfcb38db7e5018322aa4f5fb9	Molid shone in the cup final: - Very fun!
a7f4a877487746c0dc5888e2bbe722da70d3bd34	"- Let's hope that Viking becomes Norway's leading team in ""counter-pressure"""
5de89d942f6cbc461b31215cde1e66b95db57d26	Clinton apologizes for using private email
df6309969846def810009902b4cf72bfb0e60ac1	Koteng: - Difficult to get investors
8720c8fc2450726588eb833422b8c2e60205abc5	The storm hit Trøndelag
435ab2fc61cb0433b788b7825f6e020382fa6fea	Source sorting?
83ec7d636232efc12853c55f04fb4021c606cb74	If you have a tenant, you must measure radon
2a29ac119eb0c9441bfaddb2328275af455ee942	Now there will be a new road between Trondheim and Klæbu
31c764ad0b53dc5362e4b9ea54fe199a7731dd2c	This is how New Year's Eve is celebrated
abd677c1d212994568d576ae72344a306261cdff	Trond and Aleksander have had the Christmas decorations for three months. Now they are ready for the New Year's party.
bac62091285f63e47711aa2ca736e40511783c49	E6 The brain
4c1f73246081c7dbf67b1d9220c1bfbeb271db02	We have collected fireworks pictures from 11 years ago
b391e3d9643d1918a8059f39d3244de5951caac4	New study: A handful of nuts a day can save lives
6c6d497cb5da1131efd1720e5f1b45b7797a5d38	Accused of silence
119474ae5a2399c19ae3781ac6b275c86d54a811	Several rescued dogs going astray on New Year's Eve
